date,item,qty
2023-04-01,Crispy Vegetable Spring Rolls,11
2023-04-01,Truffle Parmesan Fries,18
2023-04-01,Spicy Buffalo Wings,6
2023-04-01,Grilled Salmon Quinoa Bowl,13
2023-04-01,Beyond Meat Vegan Burger,24
2023-04-01,Chicken Tikka Masala,2
2023-04-01,Vegan Chocolate Mousse,0
2023-04-01,Classic New York Cheesecake,13
2023-04-01,Green Detox Smoothie,23
2023-04-01,Cold Brew Coffee,22
2023-04-02,Crispy Vegetable Spring Rolls,2
2023-04-02,Truffle Parmesan Fries,2
2023-04-02,Spicy Buffalo Wings,24
2023-04-02,Grilled Salmon Quinoa Bowl,7
2023-04-02,Beyond Meat Vegan Burger,15
2023-04-02,Chicken Tikka Masala,19
2023-04-02,Vegan Chocolate Mousse,22
2023-04-02,Classic New York Cheesecake,7
2023-04-02,Green Detox Smoothie,9
2023-04-02,Cold Brew Coffee,17
2023-04-03,Crispy Vegetable Spring Rolls,18
2023-04-03,Truffle Parmesan Fries,25
2023-04-03,Spicy Buffalo Wings,15
2023-04-03,Grilled Salmon Quinoa Bowl,22
2023-04-03,Beyond Meat Vegan Burger,4
2023-04-03,Chicken Tikka Masala,18
2023-04-03,Vegan Chocolate Mousse,22
2023-04-03,Classic New York Cheesecake,21
2023-04-03,Green Detox Smoothie,6
2023-04-03,Cold Brew Coffee,0
2023-04-04,Crispy Vegetable Spring Rolls,24
2023-04-04,Truffle Parmesan Fries,16
2023-04-04,Spicy Buffalo Wings,5
2023-04-04,Grilled Salmon Quinoa Bowl,2
2023-04-04,Beyond Meat Vegan Burger,12
2023-04-04,Chicken Tikka Masala,7
2023-04-04,Vegan Chocolate Mousse,0
2023-04-04,Classic New York Cheesecake,9
2023-04-04,Green Detox Smoothie,7
2023-04-04,Cold Brew Coffee,10
2023-04-05,Crispy Vegetable Spring Rolls,5
2023-04-05,Truffle Parmesan Fries,21
2023-04-05,Spicy Buffalo Wings,16
2023-04-05,Grilled Salmon Quinoa Bowl,14
2023-04-05,Beyond Meat Vegan Burger,10
2023-04-05,Chicken Tikka Masala,17
2023-04-05,Vegan Chocolate Mousse,4
2023-04-05,Classic New York Cheesecake,12
2023-04-05,Green Detox Smoothie,13
2023-04-05,Cold Brew Coffee,8
2023-04-06,Crispy Vegetable Spring Rolls,12
2023-04-06,Truffle Parmesan Fries,21
2023-04-06,Spicy Buffalo Wings,15
2023-04-06,Grilled Salmon Quinoa Bowl,17
2023-04-06,Beyond Meat Vegan Burger,1
2023-04-06,Chicken Tikka Masala,9
2023-04-06,Vegan Chocolate Mousse,8
2023-04-06,Classic New York Cheesecake,13
2023-04-06,Green Detox Smoothie,23
2023-04-06,Cold Brew Coffee,11
2023-04-07,Crispy Vegetable Spring Rolls,12
2023-04-07,Truffle Parmesan Fries,21
2023-04-07,Spicy Buffalo Wings,20
2023-04-07,Grilled Salmon Quinoa Bowl,16
2023-04-07,Beyond Meat Vegan Burger,11
2023-04-07,Chicken Tikka Masala,5
2023-04-07,Vegan Chocolate Mousse,9
2023-04-07,Classic New York Cheesecake,4
2023-04-07,Green Detox Smoothie,0
2023-04-07,Cold Brew Coffee,5
2023-04-08,Crispy Vegetable Spring Rolls,23
2023-04-08,Truffle Parmesan Fries,21
2023-04-08,Spicy Buffalo Wings,21
2023-04-08,Grilled Salmon Quinoa Bowl,23
